Training started at: 2026-03-24 16:30:54
Total iterations: 80000
====================================================================================================
6700/80000 (8.4%), elapsed_time=01:39:58, remaining_time=18:13:32, total_estimated=19:53:30, reward=0.724, eval_reward=0.843, qf_loss=0.241, step=87113
6800/80000 (8.5%), elapsed_time=01:41:13, remaining_time=18:09:30, total_estimated=19:50:43, reward=0.717, eval_reward=0.843, qf_loss=0.099, step=88413
6900/80000 (8.6%), elapsed_time=01:43:14, remaining_time=18:13:34, total_estimated=19:56:48, reward=0.715, eval_reward=0.790, qf_loss=0.053, step=89713
7000/80000 (8.8%), elapsed_time=01:44:30, remaining_time=18:09:41, total_estimated=19:54:11, reward=0.706, eval_reward=0.790, qf_loss=0.101, step=91013
7100/80000 (8.9%), elapsed_time=01:45:45, remaining_time=18:05:46, total_estimated=19:51:32, reward=0.711, eval_reward=0.790, qf_loss=0.099, step=92313
7200/80000 (9.0%), elapsed_time=01:47:01, remaining_time=18:02:01, total_estimated=19:49:03, reward=0.717, eval_reward=0.790, qf_loss=0.097, step=93613
7300/80000 (9.1%), elapsed_time=01:49:28, remaining_time=18:10:07, total_estimated=19:59:36, reward=0.715, eval_reward=0.857, qf_loss=0.061, step=94913
7400/80000 (9.3%), elapsed_time=01:50:44, remaining_time=18:06:21, total_estimated=19:57:06, reward=0.731, eval_reward=0.857, qf_loss=0.094, step=96213
7500/80000 (9.4%), elapsed_time=01:52:00, remaining_time=18:02:31, total_estimated=19:54:31, reward=0.718, eval_reward=0.857, qf_loss=0.199, step=97513
7600/80000 (9.5%), elapsed_time=01:53:15, remaining_time=17:58:45, total_estimated=19:52:00, reward=0.717, eval_reward=0.857, qf_loss=0.101, step=98813
7700/80000 (9.6%), elapsed_time=01:55:17, remaining_time=18:02:19, total_estimated=19:57:37, reward=0.712, eval_reward=0.833, qf_loss=0.052, step=100113
7800/80000 (9.8%), elapsed_time=01:56:32, remaining_time=17:58:39, total_estimated=19:55:12, reward=0.715, eval_reward=0.833, qf_loss=0.106, step=101413
7900/80000 (9.9%), elapsed_time=01:57:48, remaining_time=17:55:03, total_estimated=19:52:52, reward=0.702, eval_reward=0.833, qf_loss=0.185, step=102713
8000/80000 (10.0%), elapsed_time=01:59:04, remaining_time=17:51:33, total_estimated=19:50:37, reward=0.698, eval_reward=0.833, qf_loss=0.092, step=104013
8100/80000 (10.1%), elapsed_time=02:01:08, remaining_time=17:55:13, total_estimated=19:56:22, reward=0.694, eval_reward=0.820, qf_loss=0.132, step=105313
8200/80000 (10.3%), elapsed_time=02:02:25, remaining_time=17:51:46, total_estimated=19:54:11, reward=0.696, eval_reward=0.820, qf_loss=0.101, step=106613
8300/80000 (10.4%), elapsed_time=02:03:41, remaining_time=17:48:18, total_estimated=19:51:59, reward=0.695, eval_reward=0.820, qf_loss=0.031, step=107913
8400/80000 (10.5%), elapsed_time=02:04:56, remaining_time=17:44:51, total_estimated=19:49:48, reward=0.701, eval_reward=0.820, qf_loss=0.043, step=109213
8500/80000 (10.6%), elapsed_time=02:06:58, remaining_time=17:47:53, total_estimated=19:54:51, reward=0.697, eval_reward=0.827, qf_loss=0.135, step=110513
8600/80000 (10.8%), elapsed_time=02:08:13, remaining_time=17:44:28, total_estimated=19:52:42, reward=0.707, eval_reward=0.827, qf_loss=0.070, step=111813
8700/80000 (10.9%), elapsed_time=02:09:29, remaining_time=17:41:07, total_estimated=19:50:37, reward=0.703, eval_reward=0.827, qf_loss=0.058, step=113113
8800/80000 (11.0%), elapsed_time=02:10:45, remaining_time=17:37:50, total_estimated=19:48:36, reward=0.702, eval_reward=0.827, qf_loss=0.125, step=114413
8900/80000 (11.1%), elapsed_time=02:12:47, remaining_time=17:40:39, total_estimated=19:53:26, reward=0.755, eval_reward=0.853, qf_loss=0.058, step=115713
9000/80000 (11.3%), elapsed_time=02:14:02, remaining_time=17:37:21, total_estimated=19:51:23, reward=0.738, eval_reward=0.853, qf_loss=0.243, step=117013
9100/80000 (11.4%), elapsed_time=02:15:18, remaining_time=17:34:05, total_estimated=19:49:24, reward=0.733, eval_reward=0.853, qf_loss=0.037, step=118313
9200/80000 (11.5%), elapsed_time=02:16:34, remaining_time=17:30:54, total_estimated=19:47:28, reward=0.725, eval_reward=0.853, qf_loss=0.218, step=119613
9300/80000 (11.6%), elapsed_time=02:18:35, remaining_time=17:33:31, total_estimated=19:52:07, reward=0.718, eval_reward=0.827, qf_loss=0.108, step=120913
9400/80000 (11.8%), elapsed_time=02:19:51, remaining_time=17:30:15, total_estimated=19:50:06, reward=0.703, eval_reward=0.827, qf_loss=0.060, step=122213
9500/80000 (11.9%), elapsed_time=02:21:06, remaining_time=17:27:01, total_estimated=19:48:08, reward=0.708, eval_reward=0.827, qf_loss=0.176, step=123513
9600/80000 (12.0%), elapsed_time=02:22:22, remaining_time=17:23:58, total_estimated=19:46:21, reward=0.711, eval_reward=0.827, qf_loss=0.041, step=124813
9700/80000 (12.1%), elapsed_time=02:24:24, remaining_time=17:26:29, total_estimated=19:50:54, reward=0.720, eval_reward=0.837, qf_loss=0.212, step=126113
9800/80000 (12.3%), elapsed_time=02:25:40, remaining_time=17:23:22, total_estimated=19:49:02, reward=0.708, eval_reward=0.837, qf_loss=0.149, step=127413
9900/80000 (12.4%), elapsed_time=02:26:55, remaining_time=17:20:14, total_estimated=19:47:09, reward=0.707, eval_reward=0.837, qf_loss=0.082, step=128713
10000/80000 (12.5%), elapsed_time=02:28:11, remaining_time=17:17:12, total_estimated=19:45:23, reward=0.718, eval_reward=0.837, qf_loss=0.078, step=130013
10100/80000 (12.6%), elapsed_time=02:30:12, remaining_time=17:19:23, total_estimated=19:49:36, reward=0.722, eval_reward=0.793, qf_loss=0.216, step=131313
10200/80000 (12.8%), elapsed_time=02:31:27, remaining_time=17:16:21, total_estimated=19:47:49, reward=0.736, eval_reward=0.793, qf_loss=0.021, step=132613
10300/80000 (12.9%), elapsed_time=02:32:42, remaining_time=17:13:18, total_estimated=19:46:01, reward=0.738, eval_reward=0.793, qf_loss=0.192, step=133913
10400/80000 (13.0%), elapsed_time=02:33:58, remaining_time=17:10:20, total_estimated=19:44:18, reward=0.736, eval_reward=0.793, qf_loss=0.124, step=135213
10500/80000 (13.1%), elapsed_time=02:36:22, remaining_time=17:14:54, total_estimated=19:51:16, reward=0.726, eval_reward=0.863, qf_loss=0.116, step=136513
10600/80000 (13.3%), elapsed_time=02:37:38, remaining_time=17:11:56, total_estimated=19:49:34, reward=0.728, eval_reward=0.863, qf_loss=0.180, step=137813
10700/80000 (13.4%), elapsed_time=02:38:53, remaining_time=17:08:58, total_estimated=19:47:52, reward=0.736, eval_reward=0.863, qf_loss=0.112, step=139113
10800/80000 (13.5%), elapsed_time=02:40:09, remaining_time=17:06:04, total_estimated=19:46:13, reward=0.732, eval_reward=0.863, qf_loss=0.118, step=140413
10900/80000 (13.6%), elapsed_time=02:42:11, remaining_time=17:08:03, total_estimated=19:50:14, reward=0.703, eval_reward=0.823, qf_loss=0.173, step=141713
11000/80000 (13.8%), elapsed_time=02:43:26, remaining_time=17:05:08, total_estimated=19:48:35, reward=0.731, eval_reward=0.823, qf_loss=0.108, step=143013
11100/80000 (13.9%), elapsed_time=02:44:42, remaining_time=17:02:14, total_estimated=19:46:57, reward=0.725, eval_reward=0.823, qf_loss=0.101, step=144313
11200/80000 (14.0%), elapsed_time=02:45:58, remaining_time=16:59:24, total_estimated=19:45:22, reward=0.729, eval_reward=0.823, qf_loss=0.115, step=145613
11300/80000 (14.1%), elapsed_time=02:47:58, remaining_time=17:01:08, total_estimated=19:49:07, reward=0.728, eval_reward=0.807, qf_loss=0.181, step=146913
11400/80000 (14.3%), elapsed_time=02:49:14, remaining_time=16:58:16, total_estimated=19:47:31, reward=0.725, eval_reward=0.807, qf_loss=0.079, step=148213
11500/80000 (14.4%), elapsed_time=02:50:29, remaining_time=16:55:24, total_estimated=19:45:53, reward=0.721, eval_reward=0.807, qf_loss=0.061, step=149513
11600/80000 (14.5%), elapsed_time=02:51:44, remaining_time=16:52:34, total_estimated=19:44:18, reward=0.728, eval_reward=0.807, qf_loss=0.134, step=150813
11700/80000 (14.6%), elapsed_time=02:53:44, remaining_time=16:54:08, total_estimated=19:47:52, reward=0.777, eval_reward=0.837, qf_loss=0.110, step=152113
11800/80000 (14.8%), elapsed_time=02:54:59, remaining_time=16:51:19, total_estimated=19:46:19, reward=0.761, eval_reward=0.837, qf_loss=0.103, step=153413
11900/80000 (14.9%), elapsed_time=02:56:14, remaining_time=16:48:30, total_estimated=19:44:45, reward=0.749, eval_reward=0.837, qf_loss=0.136, step=154713
12000/80000 (15.0%), elapsed_time=02:57:29, remaining_time=16:45:43, total_estimated=19:43:13, reward=0.746, eval_reward=0.837, qf_loss=0.145, step=156013
12100/80000 (15.1%), elapsed_time=02:59:29, remaining_time=16:47:07, total_estimated=19:46:37, reward=0.766, eval_reward=0.817, qf_loss=0.059, step=157313
12200/80000 (15.3%), elapsed_time=03:00:44, remaining_time=16:44:19, total_estimated=19:45:04, reward=0.726, eval_reward=0.817, qf_loss=0.171, step=158613
12300/80000 (15.4%), elapsed_time=03:01:58, remaining_time=16:41:32, total_estimated=19:43:31, reward=0.717, eval_reward=0.817, qf_loss=0.186, step=159913
12400/80000 (15.5%), elapsed_time=03:03:13, remaining_time=16:38:49, total_estimated=19:42:02, reward=0.736, eval_reward=0.817, qf_loss=0.072, step=161213
12500/80000 (15.6%), elapsed_time=03:05:39, remaining_time=16:42:25, total_estimated=19:48:04, reward=0.738, eval_reward=0.877, qf_loss=0.087, step=162513
12600/80000 (15.8%), elapsed_time=03:06:54, remaining_time=16:39:40, total_estimated=19:46:34, reward=0.742, eval_reward=0.877, qf_loss=0.125, step=163813
12700/80000 (15.9%), elapsed_time=03:08:08, remaining_time=16:36:54, total_estimated=19:45:03, reward=0.740, eval_reward=0.877, qf_loss=0.035, step=165113
12800/80000 (16.0%), elapsed_time=03:09:22, remaining_time=16:34:08, total_estimated=19:43:30, reward=0.745, eval_reward=0.877, qf_loss=0.034, step=166413
