CUDA_VISIBLE_DEVICES=1 nohup python train_q_rag_logt.py    
envs=hotpotqa    \
algo=pqn_e5_hotpotqa    \
envs.data_path="/home/ai-faculty/workspace/datasets/hotpotqa"    \
steps_count=10000    \
batch_size=12    \
accumulate_grads=8    \
eval_interval=100    \
envs_parallel=1    \
max_action_length=220   > train.log 2>&1 &

Training started at: 2026-03-26 17:36:17
Total iterations: 80000
====================================================================================================
| it/Total Steps | 完成百分比 | Progress | Time | Reward | Eval Reward | QF loss| Step |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 40400/80000 | 50.5% | 11:33:32 | 0.835 | 0.873 | 0.079 | 525213 |
| 40500/80000 | 50.6% | 11:35:08 | 0.842 | 0.873 | 0.059 | 526513 |
| 40600/80000 | 50.8% | 11:36:43 | 0.842 | 0.873 | 0.021 | 527813 |
| 40700/80000 | 50.9% | 11:38:19 | 0.841 | 0.873 | 0.031 | 529113 |
| 40800/80000 | 51.0% | 11:39:54 | 0.842 | 0.873 | 0.030 | 530413 |
| 40900/80000 | 51.1% | 11:42:22 | 0.820 | 0.890 | 0.123 | 531713 |
| 41000/80000 | 51.3% | 11:43:57 | 0.822 | 0.890 | 0.036 | 533013 |
| 41100/80000 | 51.4% | 11:45:32 | 0.829 | 0.890 | 0.127 | 534313 |
| 41200/80000 | 51.5% | 11:47:08 | 0.835 | 0.890 | 0.037 | 535613 |
| 41300/80000 | 51.6% | 11:48:43 | 0.829 | 0.890 | 0.074 | 536913 |
| 41400/80000 | 51.8% | 11:50:19 | 0.832 | 0.890 | 0.026 | 538213 |
| 41500/80000 | 51.9% | 11:51:55 | 0.831 | 0.890 | 0.030 | 539513 |
| 41600/80000 | 52.0% | 11:53:31 | 0.832 | 0.890 | 0.056 | 540813 |
| 41700/80000 | 52.1% | 11:55:58 | 0.812 | 0.893 | 0.123 | 542113 |
| 41800/80000 | 52.3% | 11:57:34 | 0.825 | 0.893 | 0.138 | 543413 |
| 41900/80000 | 52.4% | 11:59:10 | 0.832 | 0.893 | 0.065 | 544713 |
| 42000/80000 | 52.5% | 12:00:45 | 0.827 | 0.893 | 0.055 | 546013 |
| 42100/80000 | 52.6% | 12:02:21 | 0.831 | 0.893 | 0.078 | 547313 |
| 42200/80000 | 52.8% | 12:03:56 | 0.827 | 0.893 | 0.112 | 548613 |
| 42300/80000 | 52.9% | 12:05:32 | 0.825 | 0.893 | 0.082 | 549913 |
| 42400/80000 | 53.0% | 12:07:07 | 0.824 | 0.893 | 0.107 | 551213 |
| 42500/80000 | 53.1% | 12:09:39 | 0.826 | 0.847 | 0.056 | 552513 |
| 42600/80000 | 53.3% | 12:11:14 | 0.826 | 0.847 | 0.092 | 553813 |
| 42700/80000 | 53.4% | 12:12:50 | 0.825 | 0.847 | 0.035 | 555113 |
| 42800/80000 | 53.5% | 12:14:25 | 0.830 | 0.847 | 0.025 | 556413 |
| 42900/80000 | 53.6% | 12:16:01 | 0.829 | 0.847 | 0.027 | 557713 |
